pos_x, pos_y, pos_z
-0.313305, -0.094996, 0.585165
0.031963, 0.034953, 0.110455
-0.129619, 0.037208, 0.156030
0.129925, -0.202223, 0.452574
0.123533, -0.159991, 0.438483
0.097074, -0.024122, 0.475691
0.056382, -0.026995, 0.514283
0.061927, -0.102331, 0.491423
0.071328, -0.111262, 0.570149
0.078642, -0.109870, 0.567034
0.116595, -0.178366, 0.768972
0.088457, -0.128130, 0.542127
0.081224, -0.134631, 0.562441
0.122994, -0.135203, 0.792425
0.102101, -0.106047, 0.621150
0.084867, -0.115916, 0.664184
0.168241, -0.117887, 0.912457
0.102360, -0.095265, 0.573176
0.053746, -0.085955, 0.495488
0.153982, -0.088362, 0.405856
0.119310, -0.108395, 0.511760
0.122509, -0.107865, 0.462125
0.129781, -0.083310, 0.445986
0.158619, -0.106215, 0.667001
-0.083841, 0.004058, 0.358758
-0.095138, 0.039542, 0.449508
-0.037045, -0.004767, 0.486640
-0.047921, 0.019273, 0.473824
-0.181548, 0.030615, 0.270970
-0.174368, 0.033167, 0.252987
-0.191651, 0.038249, 0.245883
-0.237038, -0.000900, 0.330709
-0.172807, 0.000147, 0.248212
-0.365532, 0.042323, 0.510629
-0.212508, 0.024541, 0.302733
-0.304943, 0.036695, 0.449935
-0.362620, 0.033193, 0.531190
-0.449398, 0.035337, 0.665984
-0.359671, 0.021600, 0.439244
-0.239330, -0.001504, 0.309332
-0.439709, 0.054872, 0.705836
-0.136204, -0.135919, 0.535723
-0.200966, -0.199441, 0.818271
-0.154247, -0.182679, 0.637545
-0.152570, -0.255337, 0.917102
-0.119636, -0.039921, 0.401325
-0.096409, -0.003919, 0.253646
-0.129550, -0.007786, 0.349062
-0.337411, -0.245150, 1.292465
-0.806157, -0.509024, 2.931709
-0.185106, -0.110138, 0.608528
-0.252874, -0.130138, 0.821421
-0.290685, -0.158181, 1.170721
-0.128849, -0.101594, 0.597476
-0.194340, -0.107664, 0.549801
-0.196509, -0.083547, 0.564598
-0.252412, -0.111449, 0.728919
-0.280583, -0.137643, 0.765288
-0.302178, -0.153743, 0.857015
-0.242121, -0.110317, 0.676512
-0.222428, -0.099215, 0.630067
-0.166574, -0.186135, 0.819074
0.160418, -0.058409, 0.178848
0.263108, -0.152059, 0.335753
0.291802, -0.175033, 0.406738
-0.187190, 0.010967, 0.410055
-0.319169, 0.024436, 0.504455
0.121643, 0.002281, 0.473448
0.017973, 0.038525, 0.128907
0.247339, -0.106873, 0.422843
0.215489, -0.116974, 0.413933
0.235656, -0.170233, 0.360013
0.375999, -0.158639, 0.479090
0.376593, -0.158915, 0.490967
0.191049, -0.069074, 0.243414
0.118440, -0.003362, 0.190403
2.594169, -0.559494, 4.805761
0.204997, -0.076565, 0.350703
