pos_x, pos_y, pos_z
0.267851, 0.036255, 0.288764
0.087478, 0.034231, 0.145502
0.062695, 0.026323, 0.160017
0.037932, 0.024638, 0.162376
0.058144, 0.003550, 0.223231
0.023380, 0.033278, 0.141695
0.024881, 0.036517, 0.127093
1.844439, -0.953097, 2.535726
1.605664, -0.931932, 1.597062
1.726955, -0.624502, 2.576090
0.572108, -0.264356, 1.146127
1.996226, -0.130791, 2.353525
1.892878, -0.402763, 2.632193
2.192458, -0.520856, 2.212962
2.149525, -0.516988, 3.043360
1.942593, -0.525358, 2.413988
0.412385, -0.894174, 1.817613
0.490618, -0.511047, 1.573409
0.492462, -1.011998, 2.039050
0.178147, -0.197186, 0.857078
0.367352, -0.103430, 1.187267
0.274257, -0.141932, 0.928533
0.000821, 0.058684, 0.208463
-0.310289, -0.409104, 1.357276
-0.070620, -0.430239, 1.139415
-0.085680, -0.528904, 1.126898
-0.131414, -0.126794, 0.641270
-0.604735, -0.347463, 0.791649
-1.256134, -0.746631, 1.315181
-0.671942, -0.379453, 0.758379
-0.684254, -0.224477, 0.857396
-0.458460, -0.079184, 0.855210
-0.065576, 0.042810, 0.098367
-0.046993, 0.041748, 0.109247
-0.050356, 0.046257, 0.108730
-0.047633, 0.048217, 0.116818
-0.077691, 0.042127, 0.101546
-0.053873, 0.038158, 0.109351
-0.053930, 0.040882, 0.112222
1.236932, -0.259078, 2.008348
0.928459, -0.187627, 1.664085
1.146410, -0.229664, 1.932292
-0.059437, 0.041020, 0.113995
-0.072575, 0.035555, 0.114428
-0.399955, -0.428838, 0.904167
-0.370681, -0.392649, 0.893651
-0.053823, 0.045747, 0.109621
0.002748, 0.048975, 0.165854
-0.408938, -0.254653, 0.854513
-0.014774, 0.054563, 0.149090
-0.040895, 0.037633, 0.114573
-0.586538, -0.444835, 0.908333
-0.599614, -0.434940, 0.933470
-0.041227, 0.036347, 0.185194
-0.037930, 0.049172, 0.112303
-0.034909, 0.049250, 0.111164
-0.076017, 0.035919, 0.113958
-0.090076, 0.032978, 0.118002
-0.090069, 0.038005, 0.114478
-0.089804, 0.037956, 0.123186
0.095344, -0.057835, 0.599053
-0.371040, -0.420243, 0.974592
0.100747, 0.043649, 0.113321
0.103687, 0.046915, 0.109029
-0.022863, 0.036741, 0.196310
-0.043176, 0.052382, 0.108545
0.194049, -0.103618, 0.881137
0.058717, -0.199125, 0.738467
0.083553, -0.198906, 0.709652
-0.050273, 0.033075, 0.117315
-0.071284, 0.024954, 0.128929
-0.060821, 0.027440, 0.117474
-0.509498, -0.263994, 0.747791
-0.054243, -0.239823, 1.024754
-0.059205, 0.019388, 0.571575
-0.038973, 0.043201, 0.225067
-0.294759, -0.304453, 0.865050
-0.034468, 0.045724, 0.117201
-0.057585, 0.024756, 0.115634
0.303449, -0.170182, 0.926541
0.096062, -0.125461, 0.958589
0.024029, -0.150405, 0.752152
0.026804, -0.305380, 0.804122
0.018828, -0.326629, 0.954780
-0.005116, -0.165077, 0.625824
-0.273147, -0.315164, 1.097546
-0.372488, -0.278318, 0.931071
-0.295810, -0.077483, 0.762889
0.103746, 0.037413, 0.130192
0.048724, -0.111725, 0.700242
-0.080750, -0.498134, 1.258321
-0.069154, -0.069431, 0.557548
-0.039703, 0.039624, 0.118077
-0.390687, -0.447249, 0.899385
-0.049997, 0.049650, 0.096589
0.161572, 0.026037, 0.272056
0.058277, 0.030940, 0.145778
0.065395, -0.182818, 0.799380
0.178938, -1.355077, 2.678198
0.020987, -0.380895, 0.818523
-0.005216, 0.045504, 0.098386
-0.020040, 0.042643, 0.169780
-0.013903, 0.044444, 0.159476
-0.018854, 0.048988, 0.152494
-0.022448, 0.054173, 0.147812
-0.021070, 0.050048, 0.120846
-0.619439, -0.423414, 0.906294
0.092724, 0.036369, 0.133044
0.092119, 0.035597, 0.141237
0.078793, 0.039180, 0.123218
0.090540, 0.045963, 0.147539
1.589151, -1.412053, 2.541856
0.070919, 0.032105, 0.143169
0.081294, 0.033973, 0.154424
0.006221, -0.164259, 0.640181
-0.067396, -0.040314, 0.563280
-0.051865, -0.036722, 0.544340
-0.125078, -0.000935, 0.606261
-0.229446, -0.486556, 1.029363
0.996220, -0.338748, 1.882185
1.729158, -0.562008, 3.236883
0.059032, 0.036783, 0.153602
0.482088, -0.263412, 1.140468
0.950744, -0.667621, 2.605432
0.080428, -0.210256, 0.675420
0.125227, -0.244134, 0.782549
0.124042, -0.220385, 0.774224
0.021605, -0.172302, 0.558850
0.036084, -0.210891, 0.671687
0.038506, -0.184140, 0.698759
0.056765, -0.017864, 0.911200
-0.039118, 0.005620, 0.596096
-0.083155, -0.045481, 0.577090
-0.202658, -0.096096, 0.784836
-0.034141, 0.043702, 0.130394
-0.290255, -0.402928, 0.968461
-0.417314, -0.381121, 0.893798
-0.470190, -0.275009, 0.812452
0.900763, -0.123433, 1.617595
1.209180, -1.010118, 2.143176
1.071023, -0.937656, 2.029716
0.877764, -0.852642, 2.313754
0.145443, -0.232173, 0.792946
0.070805, -0.004588, 0.699904
0.011628, -0.357535, 0.826963
-0.062424, -0.131069, 0.536129
-0.099707, -0.267682, 1.182281
-0.080454, -0.032346, 0.562598
-0.222998, -0.383010, 1.048056
-0.507928, -0.300186, 0.792649
-0.529405, -0.310584, 0.734980
2.132814, -0.853426, 2.218111
0.079058, 0.050260, 0.092745
0.073351, 0.041773, 0.130381
0.076650, 0.042741, 0.123768
1.450808, -1.392632, 2.607472
1.482863, -1.377573, 2.510748
0.047368, 0.025716, 0.135098
0.055797, 0.026929, 0.155049
0.127974, -0.585644, 1.506500
